iter	Passed	Remaining
0	0	70
1	1	60
2	1	56
3	2	52
4	2	50
5	3	49
6	3	48
7	4	48
8	4	47
9	5	46
10	5	45
11	6	45
12	6	45
13	7	45
14	8	45
15	8	45
16	9	45
17	10	45
18	10	45
19	11	44
20	11	44
21	12	43
22	12	43
23	13	42
24	14	42
25	14	41
26	15	40
27	15	40
28	16	39
29	16	38
30	17	38
31	18	38
32	18	38
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	21	34
39	22	33
40	22	32
41	22	31
42	23	31
43	23	30
44	24	29
45	25	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	25
52	28	25
53	29	24
54	29	24
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	33	20
62	33	19
63	33	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
